frame_id,shaft_angle,horiz_sc,vert_sc,grip_y,grip_dy,direction
0,124.6241326096323,55.3758673903677,34.6241326096323,1077.05078125,0.0,-
1,124.6241326096323,55.3758673903677,34.6241326096323,1077.05078125,0.0,-
2,124.6241326096323,55.3758673903677,34.6241326096323,1077.05078125,0.0,-
3,124.6241326096323,55.3758673903677,34.6241326096323,1077.05078125,0.0,-
4,124.6241326096323,55.3758673903677,34.6241326096323,1077.05078125,0.0,-
5,124.6241326096323,55.3758673903677,34.6241326096323,1077.05078125,0.0,-
6,124.6241326096323,55.3758673903677,34.6241326096323,1077.05078125,0.0,-
7,124.6241326096323,55.3758673903677,34.6241326096323,1077.05078125,0.0,-
8,124.6241326096323,55.3758673903677,34.6241326096323,1077.05078125,0.22802734375,-
9,124.6241326096323,55.3758673903677,34.6241326096323,1077.5068359375,0.4609375,-
10,124.6241326096323,55.3758673903677,34.6241326096323,1081.7734375,0.4609375,-
11,124.6241326096323,55.3758673903677,34.6241326096323,1082.6953125,0.48046875,-
12,124.6241326096323,55.3758673903677,34.6241326096323,1082.6953125,0.48046875,-
13,124.6241326096323,55.3758673903677,34.6241326096323,1082.734375,0.4609375,-
14,124.6241326096323,55.3758673903677,34.6241326096323,1083.65625,0.0390625,-
15,124.6241326096323,55.3758673903677,34.6241326096323,1083.6953125,0.0390625,-
16,124.6241326096323,55.3758673903677,34.6241326096323,1083.734375,0.01953125,-
17,124.6241326096323,55.3758673903677,34.6241326096323,1083.734375,0.0,-
18,124.6241326096323,55.3758673903677,34.6241326096323,1083.734375,0.0,-
19,124.6241326096323,55.3758673903677,34.6241326096323,1083.734375,0.0,-
20,124.6241326096323,55.3758673903677,34.6241326096323,1082.7734375,0.0,-
21,124.6241326096323,55.3758673903677,34.6241326096323,1082.7734375,0.0,-
22,124.6241326096323,55.3758673903677,34.6241326096323,1082.7734375,0.0,-
23,124.6241326096323,55.3758673903677,34.6241326096323,1082.7734375,0.0,-
24,124.6241326096323,55.3758673903677,34.6241326096323,1082.7734375,0.0,-
25,124.6241326096323,55.3758673903677,34.6241326096323,1082.7734375,0.0,-
26,124.6241326096323,55.3758673903677,34.6241326096323,1082.7734375,0.0,-
27,124.6241326096323,55.3758673903677,34.6241326096323,1082.7734375,0.0,-
28,124.6241326096323,55.3758673903677,34.6241326096323,1082.7734375,0.201171875,-
29,124.6241326096323,55.3758673903677,34.6241326096323,1083.17578125,0.681640625,-
30,124.6241326096323,55.3758673903677,34.6241326096323,1084.13671875,0.681640625,-
31,124.6241326096323,55.3758673903677,34.6241326096323,1088.466796875,0.681640625,-
32,124.6241326096323,55.3758673903677,34.6241326096323,1088.7470703125,0.14013671875,-
33,124.6241326096323,55.3758673903677,34.6241326096323,1088.7470703125,0.0244140625,-
34,124.6241326096323,55.3758673903677,34.6241326096323,1088.7958984375,0.0244140625,-
35,124.6241326096323,55.3758673903677,34.6241326096323,1088.7958984375,0.0,-
36,124.6241326096323,55.3758673903677,34.6241326096323,1088.7958984375,-0.21337890625,-
37,124.6241326096323,55.3758673903677,34.6241326096323,1088.369140625,-0.26220703125,-
38,124.6241326096323,55.3758673903677,34.6241326096323,1088.271484375,-0.26220703125,-
39,124.6241326096323,55.3758673903677,34.6241326096323,1086.09765625,-0.26220703125,-
40,124.6241326096323,55.3758673903677,34.6241326096323,1086.09765625,0.0,-
41,124.6241326096323,55.3758673903677,34.6241326096323,1086.09765625,1.1357421875,-
42,124.6241326096323,55.3758673903677,34.6241326096323,1088.369140625,1.1357421875,-
43,124.6241326096323,55.3758673903677,34.6241326096323,1090.6982421875,1.1357421875,-
44,124.6241326096323,55.3758673903677,34.6241326096323,1091.173828125,0.23779296875,-
45,124.6241326096323,55.3758673903677,34.6241326096323,1091.173828125,0.0,-
46,124.6241326096323,55.3758673903677,34.6241326096323,1091.173828125,0.0,-
